ENTREGAS;NivelServ;LeadTime_dias;Cantidad_kg;Valoracion;Ciudad;Provincia;Cliente;Dolares;OTIF;Orden Perfecta;PendienteCombro
E30;86%; 8 ; 155 ;Bueno; Machala        ; Guayas          ;C0001002057; $587,40 ;87%;64%;NO
E31;87%; 4 ; 81 ;Muy Bueno; Quito          ; Santo Domingo   ;C0001001513; $338,56 ;85%;62%;NO
E32;86%; 7 ; 137 ;Bueno; Quito          ; Loja            ;C0001002451; $245,84 ;82%;57%;NO
E33;86%; 13 ; 239 ;Bueno; Quito          ; Santo Domingo   ;C0001001084; $775,39 ;86%;62%;SI
E34;96%; 5 ; 100 ;Muy Malo; Riobamba       ; Pichincha       ;C0001001202; $229,72 ;91%;78%;NO
E35;86%; 11 ; 206 ;Muy Malo; Machala        ; Esmeraldas      ;C0001002426; $287,81 ;81%;55%;NO
E36;89%; 3 ; 60 ;Muy Bueno; Santo Domingo  ; Azuay           ;C0001001463; $113,37 ;79%;54%;NO
E37;83%; 5 ; 98 ;Muy Malo; Portoviejo     ; El Oro          ;C0001001331; $295,47 ;84%;57%;SI
E38;92%; 5 ; 104 ;Bueno; Ambato         ; Guayas          ;C0001001105; $415,04 ;82%;61%;NO
E39;83%; 9 ; 170 ;Bueno; Ambato         ; Manabí          ;C0001001910; $639,34 ;91%;67%;NO
E40;93%; 12 ; 228 ;Muy Malo; Cuenca         ; Santo Domingo   ;C0001001840; $1.025,06 ;92%;77%;NO
E41;91%; 5 ; 95 ;Muy Malo; Quito          ; El Oro          ;C0001001691; $198,93 ;79%;56%;SI
E42;91%; 6 ; 121 ;Muy Bueno; Portoviejo     ; El Oro          ;C0001002011; $573,47 ;81%;59%;NO
E43;89%; 11 ; 211 ;Malo; Loja           ; Tungurahua      ;C0001001505; $1.158,69 ;80%;56%;NO
E44;85%; 9 ; 171 ;Bueno; Durán          ; Guayas          ;C0001002172; $281,41 ;80%;53%;NO
E45;84%; 7 ; 138 ;Bueno; Quito          ; Santo Domingo   ;C0001002098; $178,78 ;87%;62%;NO
E46;95%; 12 ; 230 ;Bueno; Portoviejo     ; Tungurahua      ;C0001001692; $781,49 ;85%;67%;NO
E47;88%; 1 ; 35 ;Muy Bueno; Manta          ; Pichincha       ;C0001002074; $48,50 ;82%;58%;NO
E48;89%; 9 ; 170 ;Muy Bueno; Portoviejo     ; Santo Domingo   ;C0001001371; $805,93 ;86%;65%;SI
E49;93%; 5 ; 97 ;Muy Malo; Esmeraldas     ; Chimborazo      ;C0001001500; $290,37 ;80%;58%;NO
E50;85%; 4 ; 86 ;Bueno; Durán          ; Manabí          ;C0001002257; $230,99 ;86%;62%;NO
E51;88%; 6 ; 114 ;Muy Bueno; Guayaquil      ; Guayas          ;C0001001793; $454,56 ;79%;54%;SI
E52;89%; 3 ; 63 ;Muy Malo; Manta          ; Guayas          ;C0001002094; $188,01 ;79%;54%;NO
E53;90%; 10 ; 197 ;Reguar; Durán          ; El Oro          ;C0001002008; $196,70 ;87%;67%;NO
E54;88%; 3 ; 68 ;Muy Malo; Ambato         ; Tungurahua      ;C0001001076; $372,02 ;88%;67%;NO
E55;89%; 10 ; 187 ;Bueno; Quito          ; Azuay           ;C0001002178; $644,01 ;88%;68%;NO
E56;86%; 2 ; 49 ;Muy Bueno; Durán          ; Manabí          ;C0001002050; $223,47 ;80%;54%;NO
E57;94%; 4 ; 84 ;Malo; Guayaquil      ; Manabí          ;C0001002172; $461,01 ;76%;53%;NO
E58;96%; 13 ; 245 ;Muy Bueno; Manta          ; Pichincha       ;C0001002279; $244,88 ;90%;76%;NO
E59;92%; 1 ; 29 ;Malo; Durán          ; El Oro          ;C0001002318; $37,39 ;79%;56%;NO
E60;84%; 4 ; 81 ;Bueno; Guayaquil      ; Manabí          ;C0001001475; $289,87 ;91%;68%;SI
E61;92%; 5 ; 94 ;Bueno; Portoviejo     ; Santo Domingo   ;C0001001228; $196,90 ;92%;76%;SI
E62;85%; 4 ; 85 ;Muy Malo; Esmeraldas     ; Guayas          ;C0001001405; $152,19 ;81%;55%;SI
E63;86%; 9 ; 171 ;Muy Bueno; Esmeraldas     ; Chimborazo      ;C0001001394; $221,75 ;81%;55%;NO
E64;92%; 5 ; 106 ;Muy Malo; Durán          ; El Oro          ;C0001002188; $169,22 ;88%;70%;NO
E65;88%; 3 ; 66 ;Malo; Ambato         ; Esmeraldas      ;C0001002037; $344,61 ;92%;73%;NO
E66;93%; 4 ; 83 ;Malo; Machala        ; Santo Domingo   ;C0001001625; $496,74 ;83%;63%;NO
E67;95%; 6 ; 122 ;Muy Bueno; Portoviejo     ; Chimborazo      ;C0001001791; $280,26 ;83%;64%;NO
E68;97%; 3 ; 68 ;Muy Malo; Durán          ; El Oro          ;C0001001436; $122,24 ;87%;72%;NO
E69;93%; 7 ; 132 ;Muy Bueno; Manta          ; Chimborazo      ;C0001001545; $197,69 ;90%;74%;NO
E70;90%; 6 ; 118 ;Bueno; Cuenca         ; Chimborazo      ;C0001001050; $353,10 ;80%;56%;SI
E71;86%; 2 ; 49 ;Bueno; Esmeraldas     ; Manabí          ;C0001001718; $279,34 ;88%;65%;SI
E72;92%; 3 ; 65 ;Reguar; Durán          ; Guayas          ;C0001002476; $71,24 ;91%;75%;NO
E73;95%; 6 ; 124 ;Reguar; Ambato         ; Pichincha       ;C0001001345; $526,36 ;89%;74%;NO
E74;91%; 4 ; 77 ;Muy Bueno; Guayaquil      ; Tungurahua      ;C0001001192; $191,83 ;83%;61%;NO
E75;93%; 9 ; 170 ;Malo; Quito          ; Manabí          ;C0001001298; $220,73 ;89%;72%;NO
E76;96%; 1 ; 33 ;Muy Malo; Manta          ; Santo Domingo   ;C0001001507; $65,76 ;89%;75%;NO
E77;89%; 12 ; 220 ;Bueno; Portoviejo     ; Pichincha       ;C0001001053; $1.043,43 ;83%;60%;NO
E78;90%; 10 ; 196 ;Bueno; Portoviejo     ; Chimborazo      ;C0001001797; $1.027,43 ;80%;56%;NO
E79;88%; 14 ; 260 ;Malo; Ambato         ; Santo Domingo   ;C0001001076; $571,21 ;80%;55%;NO
E80;95%; 1 ; 30 ;Muy Malo; Esmeraldas     ; Santo Domingo   ;C0001001643; $107,46 ;78%;57%;SI
E81;90%; 12 ; 232 ;Reguar; Loja           ; Pichincha       ;C0001001224; $509,74 ;80%;56%;SI
E82;98%; 13 ; 241 ;Reguar; Esmeraldas     ; Manabí          ;C0001001687; $843,29 ;86%;71%;NO
E83;92%; 3 ; 64 ;Muy Bueno; Santo Domingo  ; Tungurahua      ;C0001002147; $114,77 ;79%;56%;NO
E84;86%; 7 ; 136 ;Malo; Manta          ; Esmeraldas      ;C0001002178; $650,78 ;87%;64%;NO
E85;90%; 12 ; 229 ;Reguar; Guayaquil      ; El Oro          ;C0001001500; $857,63 ;87%;67%;NO
E86;84%; 7 ; 139 ;Malo; Loja           ; Pichincha       ;C0001001156; $470,97 ;81%;54%;SI
E87;92%; 1 ; 28 ;Malo; Guayaquil      ; Manabí          ;C0001001319; $69,40 ;86%;67%;NO
E88;91%; 1 ; 23 ;Muy Malo; Manta          ; Pichincha       ;C0001002166; $45,46 ;86%;66%;NO
E89;84%; 3 ; 66 ;Malo; Riobamba       ; Manabí          ;C0001002330; $163,80 ;82%;55%;NO
E90;90%; 13 ; 243 ;Muy Bueno; Durán          ; El Oro          ;C0001001155; $788,78 ;80%;56%;NO
E91;90%; 5 ; 101 ;Malo; Riobamba       ; Pichincha       ;C0001001293; $377,63 ;77%;52%;NO
E92;91%; 8 ; 158 ;Reguar; Manta          ; Santo Domingo   ;C0001002263; $236,60 ;79%;56%;NO
E93;86%; 11 ; 205 ;Malo; Cuenca         ; El Oro          ;C0001001851; $736,49 ;79%;53%;NO
E94;89%; 12 ; 226 ;Malo; Riobamba       ; Loja            ;C0001001473; $473,91 ;83%;60%;NO
E95;92%; 4 ; 78 ;Malo; Guayaquil      ; Azuay           ;C0001001035; $486,00 ;90%;73%;NO
E96;95%; 6 ; 117 ;Reguar; Machala        ; Loja            ;C0001001728; $128,54 ;92%;79%;NO
E97;92%; 2 ; 51 ;Reguar; Durán          ; Loja            ;C0001002086; $111,67 ;84%;64%;NO
E98;91%; 13 ; 250 ;Bueno; Ambato         ; El Oro          ;C0001002179; $574,38 ;86%;66%;NO
E99;88%; 11 ; 205 ;Reguar; Cuenca         ; Manabí          ;C0001002352; $511,60 ;83%;59%;NO
E100;88%; 5 ; 96 ;Malo; Portoviejo     ; El Oro          ;C0001002144; $401,69 ;92%;73%;SI
E101;91%; 8 ; 150 ;Malo; Manta          ; Loja            ;C0001001411; $336,89 ;85%;64%;NO
E102;93%; 6 ; 120 ;Malo; Quito          ; Chimborazo      ;C0001001412; $239,58 ;82%;61%;NO
E103;86%; 5 ; 95 ;Malo; Quito          ; Loja            ;C0001001586; $331,03 ;90%;68%;NO
E104;93%; 4 ; 79 ;Bueno; Machala        ; Azuay           ;C0001001765; $204,85 ;84%;64%;NO
E105;94%; 10 ; 189 ;Muy Malo; Manta          ; Chimborazo      ;C0001001738; $453,17 ;81%;60%;NO
E106;92%; 7 ; 141 ;Bueno; Portoviejo     ; Chimborazo      ;C0001001444; $253,37 ;86%;67%;NO
E107;88%; 5 ; 107 ;Malo; Esmeraldas     ; Tungurahua      ;C0001001516; $266,60 ;82%;58%;NO
E108;93%; 8 ; 156 ;Muy Malo; Santo Domingo  ; Tungurahua      ;C0001002100; $373,90 ;89%;72%;NO
E109;88%; 13 ; 245 ;Muy Bueno; Esmeraldas     ; Guayas          ;C0001001726; $929,63 ;88%;67%;NO
E110;91%; 5 ; 98 ;Malo; Quito          ; Tungurahua      ;C0001001862; $234,55 ;87%;68%;NO
E111;96%; 4 ; 85 ;Muy Malo; Machala        ; Azuay           ;C0001001506; $390,45 ;79%;59%;NO
E112;94%; 13 ; 248 ;Bueno; Machala        ; Esmeraldas      ;C0001001626; $929,33 ;82%;62%;NO
E113;85%; 11 ; 211 ;Muy Bueno; Quito          ; Manabí          ;C0001001944; $842,20 ;81%;55%;NO
E114;91%; 5 ; 105 ;Bueno; Guayaquil      ; Manabí          ;C0001002347; $392,74 ;87%;68%;SI
E115;90%; 13 ; 245 ;Malo; Loja           ; Santo Domingo   ;C0001001353; $660,69 ;88%;68%;NO
E116;95%; 6 ; 118 ;Malo; Machala        ; Manabí          ;C0001001129; $388,91 ;79%;58%;NO
E117;96%; 8 ; 151 ;Reguar; Machala        ; Santo Domingo   ;C0001002123; $362,11 ;79%;59%;NO
E118;88%; 5 ; 95 ;Malo; Guayaquil      ; Manabí          ;C0001001900; $283,92 ;88%;67%;NO
E119;96%; 6 ; 123 ;Bueno; Guayaquil      ; Guayas          ;C0001002037; $294,91 ;84%;66%;SI
E120;94%; 9 ; 177 ;Bueno; Guayaquil      ; Azuay           ;C0001001074; $389,00 ;88%;71%;NO
E121;89%; 12 ; 221 ;Bueno; Quito          ; Manabí          ;C0001001905; $286,87 ;86%;65%;SI
E122;92%; 8 ; 159 ;Bueno; Ambato         ; El Oro          ;C0001001852; $793,80 ;86%;67%;NO
E123;91%; 8 ; 157 ;Malo; Quito          ; Pichincha       ;C0001002197; $979,56 ;79%;56%;NO
E124;94%; 8 ; 153 ;Bueno; Guayaquil      ; Loja            ;C0001001229; $183,38 ;88%;71%;SI
E125;93%; 7 ; 131 ;Muy Bueno; Manta          ; Santo Domingo   ;C0001001976; $372,75 ;82%;61%;SI
E126;90%; 12 ; 229 ;Muy Malo; Ambato         ; Guayas          ;C0001001781; $1.372,20 ;89%;70%;NO
E127;86%; 10 ; 189 ;Bueno; Loja           ; Manabí          ;C0001001728; $1.131,48 ;90%;68%;NO
E128;89%; 4 ; 85 ;Bueno; Riobamba       ; Azuay           ;C0001001626; $143,94 ;84%;62%;NO
E129;93%; 6 ; 113 ;Reguar; Cuenca         ; Manabí          ;C0001001424; $360,93 ;82%;61%;NO
E130;91%; 6 ; 114 ;Muy Bueno; Santo Domingo  ; Chimborazo      ;C0001002068; $318,44 ;91%;74%;NO
E131;87%; 8 ; 154 ;Muy Malo; Quito          ; Loja            ;C0001001313; $768,05 ;89%;68%;NO
E132;98%; 5 ; 101 ;Muy Malo; Cuenca         ; Santo Domingo   ;C0001001429; $181,69 ;92%;81%;SI
E133;89%; 9 ; 168 ;Reguar; Guayaquil      ; Esmeraldas      ;C0001002198; $553,31 ;83%;60%;SI
E134;95%; 11 ; 207 ;Malo; Guayaquil      ; Esmeraldas      ;C0001001872; $930,83 ;85%;67%;NO
E135;86%; 3 ; 64 ;Muy Bueno; Cuenca         ; Guayas          ;C0001001907; $101,73 ;91%;70%;SI
E136;91%; 13 ; 249 ;Muy Bueno; Ambato         ; Manabí          ;C0001002371; $684,01 ;87%;68%;NO
E137;90%; 5 ; 97 ;Reguar; Machala        ; Santo Domingo   ;C0001001926; $217,58 ;86%;65%;NO
E138;93%; 1 ; 31 ;Bueno; Manta          ; Pichincha       ;C0001001927; $107,77 ;87%;69%;NO
E139;90%; 9 ; 173 ;Bueno; Riobamba       ; Esmeraldas      ;C0001001377; $388,58 ;87%;67%;NO
E140;89%; 10 ; 188 ;Bueno; Guayaquil      ; Pichincha       ;C0001001814; $394,11 ;87%;66%;SI
E141;88%; 4 ; 82 ;Muy Malo; Manta          ; Manabí          ;C0001002337; $204,10 ;80%;55%;NO
E142;94%; 8 ; 151 ;Bueno; Quito          ; Manabí          ;C0001001842; $211,15 ;84%;65%;NO
E143;90%; 4 ; 87 ;Malo; Durán          ; Tungurahua      ;C0001001820; $234,09 ;84%;62%;NO
E144;93%; 9 ; 171 ;Bueno; Portoviejo     ; Loja            ;C0001002121; $555,07 ;79%;57%;SI
E145;85%; 6 ; 117 ;Malo; Quito          ; Pichincha       ;C0001002261; $582,75 ;80%;53%;NO
E146;91%; 7 ; 131 ;Muy Malo; Santo Domingo  ; Pichincha       ;C0001002244; $784,38 ;82%;60%;NO
E147;91%; 4 ; 79 ;Muy Malo; Santo Domingo  ; Santo Domingo   ;C0001001440; $173,21 ;82%;60%;NO
E148;87%; 13 ; 244 ;Reguar; Santo Domingo  ; Azuay           ;C0001001426; $682,11 ;91%;71%;SI
E149;95%; 13 ; 247 ;Muy Bueno; Portoviejo     ; Guayas          ;C0001001941; $641,81 ;90%;75%;NO
E150;94%; 6 ; 113 ;Muy Bueno; Riobamba       ; Manabí          ;C0001001032; $236,92 ;85%;67%;NO
E151;88%; 7 ; 140 ;Muy Bueno; Cuenca         ; Manabí          ;C0001001815; $872,75 ;89%;68%;NO
E152;91%; 6 ; 122 ;Reguar; Quito          ; Manabí          ;C0001001123; $182,60 ;81%;59%;NO
E153;93%; 7 ; 140 ;Bueno; Durán          ; Manabí          ;C0001001053; $307,54 ;84%;64%;NO
E154;89%; 9 ; 169 ;Bueno; Guayaquil      ; Guayas          ;C0001002489; $716,85 ;87%;66%;NO
E155;96%; 6 ; 123 ;Reguar; Portoviejo     ; Loja            ;C0001001118; $276,48 ;90%;76%;NO
E156;92%; 10 ; 192 ;Muy Malo; Guayaquil      ; Santo Domingo   ;C0001002085; $402,70 ;76%;52%;NO
E157;95%; 8 ; 158 ;Muy Malo; Riobamba       ; El Oro          ;C0001001036; $513,01 ;86%;69%;SI
E158;90%; 3 ; 62 ;Reguar; Machala        ; Guayas          ;C0001001652; $123,40 ;77%;52%;NO
E159;92%; 9 ; 172 ;Muy Bueno; Quito          ; Tungurahua      ;C0001002129; $360,70 ;92%;76%;SI
E160;92%; 7 ; 143 ;Muy Bueno; Durán          ; Manabí          ;C0001001075; $471,11 ;84%;64%;SI
E161;88%; 11 ; 212 ;Reguar; Manta          ; Azuay           ;C0001001931; $973,54 ;85%;62%;NO
E162;86%; 11 ; 204 ;Muy Bueno; Portoviejo     ; Loja            ;C0001001249; $468,23 ;85%;61%;NO
E163;87%; 8 ; 159 ;Reguar; Santo Domingo  ; Guayas          ;C0001001697; $602,72 ;80%;55%;NO
E164;90%; 11 ; 208 ;Muy Bueno; Durán          ; Esmeraldas      ;C0001001799; $519,25 ;82%;59%;SI
E165;96%; 6 ; 118 ;Malo; Esmeraldas     ; Santo Domingo   ;C0001002069; $259,34 ;90%;76%;SI
E166;90%; 7 ; 140 ;Bueno; Esmeraldas     ; Chimborazo      ;C0001002423; $307,34 ;92%;75%;NO
E167;88%; 1 ; 34 ;Muy Bueno; Manta          ; Pichincha       ;C0001001419; $80,74 ;85%;62%;NO
E168;90%; 8 ; 151 ;Muy Malo; Cuenca         ; Azuay           ;C0001001912; $512,38 ;84%;62%;NO
E169;89%; 2 ; 43 ;Malo; Cuenca         ; Guayas          ;C0001001507; $102,41 ;89%;69%;NO
E170;88%; 7 ; 132 ;Muy Malo; Esmeraldas     ; Santo Domingo   ;C0001002101; $375,17 ;88%;67%;NO
E171;92%; 6 ; 117 ;Bueno; Esmeraldas     ; Loja            ;C0001001594; $175,14 ;85%;65%;NO
E172;89%; 8 ; 153 ;Bueno; Machala        ; Guayas          ;C0001001298; $335,87 ;83%;60%;NO
E173;91%; 9 ; 172 ;Bueno; Esmeraldas     ; Esmeraldas      ;C0001001836; $987,45 ;81%;59%;NO
E174;89%; 1 ; 28 ;Malo; Cuenca         ; Esmeraldas      ;C0001001539; $60,87 ;86%;65%;NO
E175;84%; 7 ; 137 ;Malo; Manta          ; Manabí          ;C0001001536; $266,21 ;79%;51%;NO
E176;91%; 2 ; 48 ;Reguar; Durán          ; Guayas          ;C0001001339; $114,55 ;87%;68%;NO
E177;87%; 9 ; 170 ;Muy Malo; Machala        ; Manabí          ;C0001001601; $932,86 ;80%;55%;NO
E178;86%; 10 ; 187 ;Bueno; Esmeraldas     ; Manabí          ;C0001001415; $429,13 ;86%;62%;SI
E179;88%; 5 ; 106 ;Reguar; Portoviejo     ; Tungurahua      ;C0001001776; $448,97 ;82%;58%;NO
E180;90%; 9 ; 169 ;Muy Bueno; Portoviejo     ; Santo Domingo   ;C0001001082; $742,28 ;87%;67%;NO
E181;86%; 14 ; 268 ;Bueno; Durán          ; El Oro          ;C0001001705; $883,01 ;80%;54%;SI
E182;95%; 12 ; 232 ;Bueno; Guayaquil      ; Esmeraldas      ;C0001002193; $394,15 ;82%;63%;SI
E183;89%; 12 ; 225 ;Muy Bueno; Portoviejo     ; Guayas          ;C0001001008; $471,81 ;84%;62%;NO
E184;87%; 10 ; 190 ;Muy Bueno; Portoviejo     ; Guayas          ;C0001002334; $568,83 ;90%;69%;NO
E185;93%; 7 ; 131 ;Malo; Ambato         ; Loja            ;C0001001468; $313,90 ;81%;60%;NO
E186;86%; 10 ; 188 ;Malo; Ambato         ; Pichincha       ;C0001001780; $262,61 ;91%;70%;NO
E187;91%; 2 ; 50 ;Muy Malo; Santo Domingo  ; Pichincha       ;C0001002307; $129,30 ;84%;63%;NO
E188;87%; 7 ; 134 ;Reguar; Manta          ; Manabí          ;C0001002127; $334,03 ;87%;65%;NO
E189;91%; 2 ; 53 ;Muy Bueno; Manta          ; El Oro          ;C0001002194; $118,64 ;86%;66%;NO
E190;86%; 3 ; 61 ;Malo; Durán          ; Tungurahua      ;C0001001082; $272,61 ;79%;53%;NO
E191;87%; 9 ; 177 ;Muy Bueno; Loja           ; Pichincha       ;C0001001786; $264,92 ;81%;56%;NO
E192;91%; 7 ; 133 ;Muy Bueno; Guayaquil      ; Esmeraldas      ;C0001001673; $796,38 ;83%;61%;NO
E193;90%; 7 ; 140 ;Bueno; Cuenca         ; Guayas          ;C0001002017; $377,19 ;87%;67%;SI
E194;94%; 7 ; 134 ;Muy Malo; Ambato         ; Chimborazo      ;C0001002143; $147,20 ;88%;71%;NO
E195;90%; 10 ; 190 ;Muy Malo; Ambato         ; Loja            ;C0001001701; $995,93 ;79%;55%;NO
E196;89%; 10 ; 195 ;Bueno; Portoviejo     ; Manabí          ;C0001001257; $545,08 ;88%;68%;NO
E197;88%; 6 ; 118 ;Bueno; Manta          ; Guayas          ;C0001001465; $270,57 ;83%;59%;NO
E198;93%; 5 ; 95 ;Malo; Ambato         ; Guayas          ;C0001001764; $142,19 ;80%;58%;NO
E199;91%; 10 ; 194 ;Reguar; Ambato         ; El Oro          ;C0001001746; $1.017,08 ;81%;59%;NO
E200;84%; 6 ; 118 ;Reguar; Durán          ; El Oro          ;C0001002194; $317,30 ;88%;64%;NO
E201;85%; 12 ; 225 ;Muy Malo; Machala        ; Manabí          ;C0001001372; $381,74 ;83%;57%;NO
E202;83%; 14 ; 261 ;Muy Malo; Riobamba       ; Pichincha       ;C0001002245; $1.242,08 ;84%;57%;NO
E203;92%; 9 ; 177 ;Muy Bueno; Loja           ; El Oro          ;C0001002089; $318,17 ;92%;76%;SI
E204;95%; 2 ; 53 ;Muy Bueno; Cuenca         ; Esmeraldas      ;C0001001758; $132,13 ;85%;67%;SI
E205;94%; 12 ; 221 ;Malo; Machala        ; Esmeraldas      ;C0001002489; $607,26 ;80%;59%;NO
E206;86%; 12 ; 231 ;Bueno; Manta          ; Pichincha       ;C0001002137; $645,62 ;86%;62%;NO
E207;85%; 10 ; 195 ;Bueno; Machala        ; Santo Domingo   ;C0001001089; $1.167,30 ;82%;56%;NO
E208;91%; 8 ; 159 ;Malo; Guayaquil      ; Guayas          ;C0001001089; $206,35 ;85%;64%;NO
E209;83%; 5 ; 95 ;Muy Malo; Ambato         ; Azuay           ;C0001002368; $358,09 ;83%;56%;SI
E210;89%; 4 ; 80 ;Reguar; Manta          ; Guayas          ;C0001002422; $207,14 ;89%;69%;NO
E211;91%; 6 ; 123 ;Reguar; Cuenca         ; Azuay           ;C0001001222; $343,64 ;78%;54%;SI
E212;86%; 6 ; 114 ;Reguar; Durán          ; Guayas          ;C0001002350; $283,95 ;87%;64%;SI
E213;94%; 8 ; 157 ;Bueno; Machala        ; Guayas          ;C0001001103; $305,80 ;83%;63%;NO
E214;98%; 7 ; 134 ;Reguar; Esmeraldas     ; Tungurahua      ;C0001001567; $770,16 ;85%;69%;NO
E215;89%; 3 ; 60 ;Malo; Santo Domingo  ; Guayas          ;C0001001603; $119,34 ;88%;68%;NO
E216;94%; 8 ; 159 ;Muy Bueno; Riobamba       ; Guayas          ;C0001001407; $667,04 ;82%;62%;NO
E217;85%; 6 ; 122 ;Muy Bueno; Cuenca         ; Manabí          ;C0001002136; $309,95 ;82%;56%;NO
E218;92%; 5 ; 100 ;Bueno; Santo Domingo  ; Manabí          ;C0001001768; $179,57 ;91%;75%;NO
E219;91%; 5 ; 96 ;Muy Bueno; Riobamba       ; Pichincha       ;C0001001331; $478,65 ;88%;69%;NO
E220;87%; 12 ; 226 ;Bueno; Portoviejo     ; Azuay           ;C0001002408; $315,85 ;89%;68%;NO
E221;94%; 6 ; 112 ;Malo; Riobamba       ; Chimborazo      ;C0001002422; $402,55 ;88%;71%;NO
E222;88%; 3 ; 61 ;Muy Malo; Riobamba       ; Pichincha       ;C0001001212; $115,22 ;91%;71%;NO
E223;85%; 3 ; 60 ;Bueno; Quito          ; Guayas          ;C0001002019; $116,12 ;89%;66%;NO
E224;91%; 8 ; 149 ;Reguar; Riobamba       ; Guayas          ;C0001002229; $743,65 ;83%;61%;NO
E225;91%; 4 ; 89 ;Malo; Manta          ; El Oro          ;C0001001840; $159,71 ;82%;60%;SI
E226;96%; 3 ; 69 ;Muy Bueno; Loja           ; Guayas          ;C0001001683; $247,97 ;82%;63%;NO
E227;89%; 9 ; 168 ;Muy Bueno; Santo Domingo  ; Pichincha       ;C0001002102; $536,54 ;84%;62%;NO
E228;98%; 13 ; 250 ;Malo; Cuenca         ; Loja            ;C0001001739; $712,33 ;83%;66%;NO
E229;89%; 12 ; 229 ;Bueno; Riobamba       ; Manabí          ;C0001002127; $411,61 ;85%;63%;NO
E230;92%; 12 ; 221 ;Muy Bueno; Portoviejo     ; Esmeraldas      ;C0001002350; $761,62 ;76%;52%;SI
E231;89%; 9 ; 170 ;Muy Malo; Loja           ; Santo Domingo   ;C0001001601; $458,11 ;84%;62%;SI
E232;91%; 10 ; 193 ;Bueno; Santo Domingo  ; Esmeraldas      ;C0001002240; $819,10 ;87%;68%;SI
E233;94%; 9 ; 170 ;Reguar; Riobamba       ; Pichincha       ;C0001002389; $585,88 ;78%;56%;NO
