num_Oden;IdProducto;IdCliente;Cantidad;Porcentaje_Descuento;Fecha Orden;Fecha Entrega Acordada;Fecha Entrega
OPT061-72022;234;16945;59;4;30/7/2022;9/8/2022;10/8/2022
OPT062-82021;360;13562;55;8;4/8/2021;15/8/2021;15/8/2021
OPT063-32022;465;11287;24;6;15/3/2022;22/3/2022;23/3/2022
OPT064-62022;214;15407;56;8;12/6/2022;14/6/2022;17/6/2022
OPT065-102021;476;19005;4;0;4/10/2021;7/10/2021;10/10/2021
OPT066-42022;575;18140;21;7;26/4/2022;27/4/2022;2/5/2022
OPT067-42022;535;26515;34;5;2/4/2022;4/4/2022;12/4/2022
OPT068-32022;539;11331;47;3;17/3/2022;20/3/2022;23/3/2022
OPT069-102021;487;11277;28;7;25/10/2021;5/11/2021;5/11/2021
OPT070-92021;376;18308;55;3;15/9/2021;19/9/2021;24/9/2021
OPT071-52022;528;16653;47;6;20/5/2022;21/5/2022;25/5/2022
OPT072-42022;485;15067;26;3;12/4/2022;13/4/2022;17/4/2022
OPT073-12023;311;18338;51;3;13/1/2023;22/1/2023;23/1/2023
OPT074-122021;537;11315;54;8;30/12/2021;3/1/2022;10/1/2022
OPT075-32022;217;21844;30;3;9/3/2022;10/3/2022;16/3/2022
OPT076-112021;539;14237;25;7;17/11/2021;19/11/2021;28/11/2021
OPT077-12022;465;22224;4;2;20/1/2022;26/1/2022;27/1/2022
OPT078-22022;228;26991;50;1;16/2/2022;17/2/2022;26/2/2022
OPT079-82022;225;16257;61;4;26/8/2022;29/8/2022;2/9/2022
OPT080-22022;222;11080;10;1;2/2/2022;9/2/2022;9/2/2022
OPT081-52022;573;27274;13;7;26/5/2022;29/5/2022;31/5/2022
OPT082-72022;217;20004;29;8;21/7/2022;29/7/2022;1/8/2022
OPT083-112021;477;17526;9;0;12/11/2021;13/11/2021;17/11/2021
OPT084-102021;234;11430;40;3;29/10/2021;5/11/2021;6/11/2021
OPT085-12022;217;27865;25;1;17/1/2022;24/1/2022;24/1/2022
OPT086-12022;361;12698;48;1;8/1/2022;17/1/2022;17/1/2022
OPT087-62022;234;17580;56;5;28/6/2022;30/6/2022;8/7/2022
OPT088-52022;477;23262;64;0;24/5/2022;26/5/2022;29/5/2022
OPT089-112021;214;21863;11;6;18/11/2021;22/11/2021;27/11/2021
OPT090-72022;486;20713;5;4;7/7/2022;14/7/2022;17/7/2022
OPT091-12022;480;27454;48;5;24/1/2022;27/1/2022;31/1/2022
OPT092-22022;536;11642;47;8;12/2/2022;21/2/2022;21/2/2022
OPT093-52022;528;12202;61;3;15/5/2022;21/5/2022;21/5/2022
OPT094-42022;562;11120;30;0;30/4/2022;7/5/2022;11/5/2022
OPT095-112021;595;15886;32;0;21/11/2021;24/11/2021;26/11/2021
OPT096-122021;487;13315;59;7;14/12/2021;17/12/2021;20/12/2021
OPT097-62022;214;11420;21;1;21/6/2022;28/6/2022;1/7/2022
OPT098-62022;480;27172;37;0;6/6/2022;9/6/2022;11/6/2022
OPT099-72022;480;19456;18;1;31/7/2022;4/8/2022;6/8/2022
OPT0100-62022;537;18379;31;3;5/6/2022;12/6/2022;14/6/2022
OPT0101-102021;584;22372;2;7;17/10/2021;24/10/2021;27/10/2021
OPT0102-92021;357;11825;60;4;24/9/2021;28/9/2021;29/9/2021
OPT0103-52020;311;14823;1;4;13/5/2020;21/5/2020;24/5/2020
OPT0104-32021;354;12314;59;2;28/3/2021;1/4/2021;6/4/2021
OPT0105-42022;355;14264;43;0;14/4/2022;21/4/2022;24/4/2022
OPT0106-42021;375;23664;8;0;25/4/2021;29/4/2021;3/5/2021
OPT0107-12022;477;19189;10;8;4/1/2022;12/1/2022;15/1/2022
OPT0108-22022;536;21049;32;5;25/2/2022;4/3/2022;8/3/2022
OPT0109-102021;477;12011;54;0;2/10/2021;8/10/2021;12/10/2021
OPT0110-52021;389;25119;20;7;14/5/2021;18/5/2021;20/5/2021
OPT0111-62022;541;29359;13;2;24/6/2022;25/6/2022;29/6/2022
OPT0112-92021;480;21092;33;1;25/9/2021;3/10/2021;3/10/2021
OPT0113-112021;477;23117;54;5;30/11/2021;2/12/2021;10/12/2021
OPT0114-42022;561;12341;1;2;20/4/2022;22/4/2022;1/5/2022
OPT0115-82022;538;28238;39;7;9/8/2022;10/8/2022;17/8/2022
OPT0116-102021;540;16361;12;7;21/10/2021;28/10/2021;28/10/2021
OPT0117-32022;480;15346;41;0;23/3/2022;30/3/2022;1/4/2022
OPT0118-42020;311;11266;44;2;21/4/2020;22/4/2020;27/4/2020
OPT0119-102021;528;11479;19;0;4/10/2021;9/10/2021;10/10/2021
OPT0120-72022;528;17591;26;1;8/7/2022;15/7/2022;19/7/2022
OPT0121-82022;478;13735;45;1;8/8/2022;10/8/2022;16/8/2022
OPT0122-72022;477;26644;16;4;28/7/2022;1/8/2022;3/8/2022
OPT0123-82021;489;19360;24;4;13/8/2021;16/8/2021;19/8/2021
OPT0124-52022;477;11507;38;3;10/5/2022;17/5/2022;21/5/2022
OPT0125-122021;528;23389;8;7;9/12/2021;11/12/2021;19/12/2021
OPT0126-112020;375;13453;59;1;18/11/2020;22/11/2020;23/11/2020
OPT0127-52022;537;19076;8;5;24/5/2022;27/5/2022;30/5/2022
OPT0128-102021;528;17723;5;0;19/10/2021;21/10/2021;28/10/2021
OPT0129-82022;537;12762;16;7;7/8/2022;10/8/2022;14/8/2022
OPT0130-42022;480;26769;65;0;13/4/2022;16/4/2022;18/4/2022
OPT0131-42022;486;19675;56;2;21/4/2022;29/4/2022;29/4/2022
OPT0132-52022;538;23718;9;6;29/5/2022;3/6/2022;3/6/2022
OPT0133-72022;490;24333;29;5;13/7/2022;14/7/2022;18/7/2022
OPT0134-82022;606;24028;37;5;3/8/2022;10/8/2022;11/8/2022
OPT0135-122022;313;14712;17;4;29/12/2022;6/1/2023;8/1/2023
OPT0136-122021;528;16464;37;5;11/12/2021;14/12/2021;20/12/2021
OPT0137-42022;217;29341;63;6;18/4/2022;22/4/2022;27/4/2022
OPT0138-42022;228;14674;33;2;10/4/2022;19/4/2022;20/4/2022
OPT0139-52022;359;16244;32;1;25/5/2022;29/5/2022;30/5/2022
OPT0140-82022;485;12443;23;4;29/8/2022;3/9/2022;8/9/2022
OPT0141-12022;225;23930;22;8;21/1/2022;26/1/2022;31/1/2022
OPT0142-62022;477;19049;1;8;12/6/2022;15/6/2022;18/6/2022
OPT0143-62022;217;15253;36;6;28/6/2022;4/7/2022;4/7/2022
OPT0144-102021;484;19103;4;1;13/10/2021;18/10/2021;21/10/2021
OPT0145-12022;480;20242;57;6;23/1/2022;25/1/2022;31/1/2022
OPT0146-12022;528;12201;46;6;21/1/2022;24/1/2022;28/1/2022
OPT0147-12022;225;12089;42;6;29/1/2022;30/1/2022;7/2/2022
OPT0148-122021;488;14132;33;6;19/12/2021;25/12/2021;28/12/2021
OPT0149-52022;355;14301;24;8;2/5/2022;4/5/2022;12/5/2022
OPT0150-42021;362;14676;58;0;26/4/2021;4/5/2021;7/5/2021
OPT0151-112021;467;12603;43;6;16/11/2021;24/11/2021;26/11/2021
OPT0152-112021;566;26486;48;7;27/11/2021;3/12/2021;7/12/2021
OPT0153-52022;530;26732;43;2;1/5/2022;5/5/2022;7/5/2022
OPT0154-32022;361;17191;9;6;25/3/2022;29/3/2022;1/4/2022
OPT0155-82022;538;24885;29;5;22/8/2022;1/9/2022;2/9/2022
OPT0156-122021;477;18572;40;2;22/12/2021;25/12/2021;29/12/2021
OPT0157-92021;222;20158;48;6;12/9/2021;13/9/2021;19/9/2021
OPT0158-82021;488;24604;41;2;11/8/2021;16/8/2021;16/8/2021
OPT0159-72022;214;21774;56;7;23/7/2022;26/7/2022;2/8/2022
OPT0160-82022;484;11749;53;8;11/8/2022;22/8/2022;22/8/2022
OPT0161-82022;475;27349;57;4;21/8/2022;23/8/2022;1/9/2022
OPT0162-102021;477;12183;39;2;1/10/2021;9/10/2021;12/10/2021
OPT0163-52022;537;16645;36;1;21/5/2022;24/5/2022;26/5/2022
OPT0164-112021;234;18836;20;6;6/11/2021;7/11/2021;11/11/2021
OPT0165-72022;478;18427;17;1;22/7/2022;31/7/2022;2/8/2022
OPT0166-12022;488;25126;53;3;27/1/2022;2/2/2022;7/2/2022
OPT0167-92022;350;11009;55;1;7/9/2022;14/9/2022;18/9/2022
OPT0168-92021;576;24523;34;0;19/9/2021;25/9/2021;26/9/2021
OPT0169-52021;362;12735;54;2;20/5/2021;22/5/2021;25/5/2021
OPT0170-122021;472;23066;64;4;13/12/2021;14/12/2021;21/12/2021
OPT0171-82022;479;24327;1;7;5/8/2022;10/8/2022;15/8/2022
OPT0172-52022;477;20539;65;2;4/5/2022;9/5/2022;9/5/2022
OPT0173-42022;485;17333;7;6;16/4/2022;17/4/2022;23/4/2022
OPT0174-112021;222;17605;39;1;28/11/2021;5/12/2021;9/12/2021
OPT0175-22023;349;25970;33;4;3/2/2023;11/2/2023;13/2/2023
OPT0176-102021;537;15683;50;6;23/10/2021;29/10/2021;29/10/2021
OPT0177-112021;225;29403;2;3;13/11/2021;20/11/2021;24/11/2021
OPT0178-82022;214;11383;16;1;12/8/2022;15/8/2022;18/8/2022
OPT0179-72022;486;12691;22;4;24/7/2022;31/7/2022;2/8/2022
OPT0180-12022;580;23343;21;0;15/1/2022;18/1/2022;22/1/2022
OPT0181-72022;486;23833;58;4;8/7/2022;10/7/2022;17/7/2022
OPT0182-22022;478;20464;30;2;2/2/2022;5/2/2022;13/2/2022
OPT0183-112021;536;20594;59;1;9/11/2021;12/11/2021;19/11/2021
OPT0184-12022;586;14937;63;4;19/1/2022;22/1/2022;24/1/2022
OPT0185-52022;530;13988;57;2;13/5/2022;14/5/2022;23/5/2022
OPT0186-102021;538;27746;30;2;9/10/2021;11/10/2021;14/10/2021
OPT0187-22021;354;13091;31;2;3/2/2021;6/2/2021;12/2/2021
OPT0188-72022;361;18478;50;0;18/7/2022;20/7/2022;24/7/2022
OPT0189-122021;529;11164;37;6;7/12/2021;18/12/2021;18/12/2021
OPT0190-92021;529;24952;18;5;25/9/2021;6/10/2021;6/10/2021
OPT0191-32022;214;22688;4;3;6/3/2022;14/3/2022;14/3/2022
OPT0192-102021;463;16398;8;8;21/10/2021;23/10/2021;28/10/2021
OPT0193-102021;214;14851;35;1;5/10/2021;14/10/2021;14/10/2021
OPT0194-72022;357;12804;50;7;4/7/2022;7/7/2022;9/7/2022
OPT0195-22022;604;26869;4;8;5/2/2022;11/2/2022;11/2/2022
OPT0196-122021;465;20745;49;5;23/12/2021;3/1/2022;3/1/2022
OPT0197-22022;485;13444;4;6;22/2/2022;23/2/2022;1/3/2022
OPT0198-72022;222;13542;46;4;14/7/2022;23/7/2022;24/7/2022
OPT0199-52022;477;19038;13;4;13/5/2022;17/5/2022;18/5/2022
OPT0200-12022;217;11456;6;2;10/1/2022;17/1/2022;18/1/2022
OPT0201-72022;588;17334;63;8;18/7/2022;23/7/2022;29/7/2022
OPT0202-22022;480;28490;57;5;16/2/2022;18/2/2022;22/2/2022
OPT0203-102021;580;16897;29;0;11/10/2021;17/10/2021;21/10/2021
OPT0204-22022;477;23266;28;8;22/2/2022;25/2/2022;27/2/2022
OPT0205-72022;486;22699;7;6;4/7/2022;5/7/2022;10/7/2022
OPT0206-42022;536;14154;65;7;5/4/2022;13/4/2022;15/4/2022
OPT0207-12022;217;17766;51;5;31/1/2022;1/2/2022;8/2/2022
OPT0208-52022;477;14605;13;2;21/5/2022;27/5/2022;31/5/2022
OPT0209-32022;477;29118;28;3;17/3/2022;23/3/2022;28/3/2022
OPT0210-42021;358;14316;14;4;11/4/2021;19/4/2021;20/4/2021
OPT0211-112021;537;11890;33;2;8/11/2021;12/11/2021;17/11/2021
OPT0212-62022;476;19754;52;1;1/6/2022;6/6/2022;6/6/2022
OPT0213-52022;591;22267;5;1;12/5/2022;17/5/2022;18/5/2022
OPT0214-122021;580;16924;33;0;1/12/2021;3/12/2021;7/12/2021
OPT0215-92022;541;27383;61;8;3/9/2022;11/9/2022;13/9/2022
OPT0216-52022;477;20443;5;7;15/5/2022;20/5/2022;25/5/2022
OPT0217-42022;214;17181;41;8;3/4/2022;6/4/2022;14/4/2022
OPT0218-22022;536;22098;19;4;7/2/2022;12/2/2022;13/2/2022
OPT0219-102021;606;25726;61;5;15/10/2021;18/10/2021;25/10/2021
OPT0220-52022;480;26212;49;3;16/5/2022;18/5/2022;24/5/2022
OPT0221-102021;355;11379;38;4;8/10/2021;9/10/2021;14/10/2021
OPT0222-42022;214;27683;3;7;12/4/2022;14/4/2022;21/4/2022
OPT0223-92021;217;16057;4;5;24/9/2021;26/9/2021;29/9/2021
OPT0224-42022;562;11491;40;3;18/4/2022;19/4/2022;23/4/2022
OPT0225-82022;476;18356;2;3;9/8/2022;13/8/2022;18/8/2022
OPT0226-42022;480;29185;15;8;27/4/2022;30/4/2022;7/5/2022
OPT0227-22022;529;25069;29;5;3/2/2022;12/2/2022;14/2/2022
OPT0228-42022;605;22603;30;4;8/4/2022;14/4/2022;16/4/2022
OPT0229-72021;343;21540;26;7;16/7/2021;27/7/2021;27/7/2021
OPT0230-62022;528;26109;39;5;2/6/2022;10/6/2022;11/6/2022
OPT0231-122021;537;13771;11;7;9/12/2021;17/12/2021;18/12/2021
OPT0232-72021;375;16596;16;7;21/7/2021;29/7/2021;31/7/2021
OPT0233-122021;486;22780;27;7;1/12/2021;11/12/2021;11/12/2021
OPT0234-52022;537;11236;48;5;14/5/2022;19/5/2022;21/5/2022
OPT0235-102021;541;23981;8;0;6/10/2021;7/10/2021;11/10/2021
OPT0236-72022;539;15787;24;2;23/7/2022;28/7/2022;29/7/2022
OPT0237-72022;480;19109;44;4;26/7/2022;29/7/2022;5/8/2022
OPT0238-122021;478;12760;36;1;31/12/2021;4/1/2022;5/1/2022
OPT0239-92021;530;11211;38;7;13/9/2021;16/9/2021;19/9/2021
OPT0240-112021;487;19512;47;5;20/11/2021;29/11/2021;30/11/2021
OPT0241-72022;539;21932;40;7;28/7/2022;5/8/2022;6/8/2022
OPT0242-72022;606;24331;12;7;12/7/2022;13/7/2022;17/7/2022
OPT0243-102022;338;14590;17;1;28/10/2022;1/11/2022;6/11/2022
OPT0244-102021;214;12112;48;0;28/10/2021;29/10/2021;4/11/2021
OPT0245-82021;540;25795;43;2;20/8/2021;22/8/2021;26/8/2021
OPT0246-82020;310;24646;29;6;1/8/2020;5/8/2020;10/8/2020
OPT0247-62022;598;19990;1;8;22/6/2022;27/6/2022;3/7/2022
OPT0248-52022;528;11876;50;6;5/5/2022;13/5/2022;14/5/2022
OPT0249-22022;477;25943;26;7;21/2/2022;27/2/2022;2/3/2022
OPT0250-92021;479;21609;26;3;16/9/2021;17/9/2021;22/9/2021
OPT0251-122021;214;15693;49;3;5/12/2021;8/12/2021;16/12/2021
OPT0252-32022;563;28696;49;0;19/3/2022;20/3/2022;27/3/2022
OPT0253-62022;528;11631;11;6;2/6/2022;8/6/2022;12/6/2022
OPT0254-12022;606;26858;23;7;30/1/2022;2/2/2022;9/2/2022
OPT0255-122021;537;12409;35;2;30/12/2021;2/1/2022;4/1/2022
OPT0256-102021;384;19406;40;2;8/10/2021;14/10/2021;18/10/2021
OPT0257-102020;370;21948;37;7;13/10/2020;18/10/2020;18/10/2020
OPT0258-92021;530;11078;40;3;27/9/2021;2/10/2021;5/10/2021
OPT0259-42022;581;15040;61;0;6/4/2022;11/4/2022;11/4/2022
OPT0260-62022;222;11089;58;1;29/6/2022;4/7/2022;9/7/2022
OPT0261-22022;222;12204;15;4;1/2/2022;6/2/2022;8/2/2022
OPT0262-112020;360;26343;31;6;14/11/2020;15/11/2020;22/11/2020
OPT0263-62022;477;22833;46;2;3/6/2022;12/6/2022;14/6/2022
OPT0264-52022;485;18197;46;7;1/5/2022;4/5/2022;6/5/2022
OPT0265-72022;530;28571;39;1;31/7/2022;7/8/2022;9/8/2022
OPT0266-52022;485;15984;56;8;7/5/2022;13/5/2022;14/5/2022
OPT0267-52022;488;18431;33;8;31/5/2022;4/6/2022;5/6/2022
OPT0268-82022;214;19796;58;7;23/8/2022;24/8/2022;29/8/2022
OPT0269-102020;373;16277;13;8;9/10/2020;14/10/2020;17/10/2020
OPT0270-122022;313;28645;8;0;14/12/2022;18/12/2022;20/12/2022
OPT0271-12022;485;14356;57;4;16/1/2022;23/1/2022;23/1/2022
OPT0272-82022;540;25280;32;6;3/8/2022;4/8/2022;14/8/2022
OPT0273-102021;477;23115;3;8;12/10/2021;17/10/2021;23/10/2021
OPT0274-62022;217;15686;48;3;26/6/2022;5/7/2022;5/7/2022
OPT0275-122021;485;12706;42;7;21/12/2021;23/12/2021;28/12/2021
OPT0276-62022;539;14317;31;8;19/6/2022;21/6/2022;24/6/2022
OPT0277-72022;582;19188;5;6;1/7/2022;5/7/2022;9/7/2022
OPT0278-82021;372;25779;27;0;15/8/2021;16/8/2021;20/8/2021
OPT0279-42022;581;22504;10;4;9/4/2022;15/4/2022;18/4/2022
OPT0280-12022;491;16847;7;3;24/1/2022;28/1/2022;3/2/2022
OPT0281-72022;222;24481;19;7;27/7/2022;2/8/2022;4/8/2022
OPT0282-72022;565;20930;33;3;5/7/2022;11/7/2022;12/7/2022
OPT0283-32022;225;16824;41;5;12/3/2022;19/3/2022;20/3/2022
OPT0284-32022;529;20582;65;8;8/3/2022;15/3/2022;16/3/2022
OPT0285-112021;587;13799;53;0;17/11/2021;22/11/2021;23/11/2021
OPT0286-12022;481;13163;26;7;9/1/2022;15/1/2022;20/1/2022
OPT0287-52022;539;29022;22;8;11/5/2022;14/5/2022;16/5/2022
OPT0288-112021;535;25005;64;7;9/11/2021;11/11/2021;14/11/2021
OPT0289-112021;217;12661;29;8;10/11/2021;21/11/2021;21/11/2021
OPT0290-72022;572;15129;25;1;14/7/2022;15/7/2022;19/7/2022
OPT0291-52022;225;26450;28;8;26/5/2022;27/5/2022;5/6/2022
OPT0292-72022;222;14031;14;5;21/7/2022;26/7/2022;30/7/2022
OPT0293-112021;528;15307;50;3;9/11/2021;13/11/2021;14/11/2021
OPT0294-42022;465;20287;33;4;22/4/2022;29/4/2022;1/5/2022
OPT0295-12022;477;26552;12;7;31/1/2022;2/2/2022;7/2/2022
OPT0296-12022;231;20916;39;7;27/1/2022;29/1/2022;6/2/2022
OPT0297-62022;490;16205;43;3;22/6/2022;1/7/2022;1/7/2022
OPT0298-82022;477;24714;58;1;31/8/2022;6/9/2022;6/9/2022
OPT0299-92022;217;11502;26;6;7/9/2022;13/9/2022;18/9/2022
OPT0300-102021;541;27631;58;2;27/10/2021;2/11/2021;2/11/2021
OPT0301-62022;537;15610;49;5;8/6/2022;12/6/2022;13/6/2022
OPT0302-122021;537;11783;32;1;21/12/2021;25/12/2021;31/12/2021
OPT0303-42022;536;21423;23;0;25/4/2022;26/4/2022;3/5/2022
OPT0304-62022;477;25433;57;5;12/6/2022;15/6/2022;19/6/2022
OPT0305-42022;234;17915;35;2;18/4/2022;19/4/2022;24/4/2022
OPT0306-72022;530;28289;8;8;27/7/2022;2/8/2022;3/8/2022
OPT0307-122021;488;13674;3;5;15/12/2021;17/12/2021;21/12/2021
OPT0308-82022;222;25295;8;1;25/8/2022;26/8/2022;2/9/2022
OPT0309-22022;485;15354;1;6;16/2/2022;25/2/2022;26/2/2022
OPT0310-52022;536;16428;16;2;16/5/2022;26/5/2022;26/5/2022
OPT0311-22022;529;11086;40;8;11/2/2022;16/2/2022;22/2/2022
OPT0312-12022;477;24752;22;7;1/1/2022;8/1/2022;11/1/2022
OPT0313-22022;485;12270;22;5;19/2/2022;24/2/2022;2/3/2022
OPT0314-62022;537;17470;49;5;26/6/2022;28/6/2022;6/7/2022
OPT0315-102021;463;21795;41;0;22/10/2021;31/10/2021;2/11/2021
OPT0316-112021;530;22698;34;1;23/11/2021;29/11/2021;30/11/2021
OPT0317-72022;579;25693;38;7;24/7/2022;29/7/2022;29/7/2022
OPT0318-92021;478;12165;13;7;11/9/2021;15/9/2021;16/9/2021
OPT0319-62022;528;21069;8;7;26/6/2022;30/6/2022;1/7/2022
OPT0320-22022;529;21621;2;5;15/2/2022;19/2/2022;23/2/2022
OPT0321-72022;540;18279;26;4;22/7/2022;26/7/2022;28/7/2022
OPT0322-72022;485;18263;10;5;15/7/2022;20/7/2022;22/7/2022
OPT0323-122021;485;18294;41;8;22/12/2021;29/12/2021;30/12/2021
OPT0324-42022;222;15541;58;5;3/4/2022;7/4/2022;10/4/2022
OPT0325-102021;386;26986;55;7;23/10/2021;25/10/2021;3/11/2021
OPT0326-72022;473;19457;10;0;24/7/2022;29/7/2022;30/7/2022
OPT0327-82022;479;15615;37;3;8/8/2022;15/8/2022;16/8/2022
OPT0328-42022;357;13209;30;2;11/4/2022;14/4/2022;16/4/2022
OPT0329-42022;528;15408;31;8;11/4/2022;16/4/2022;17/4/2022
OPT0330-12023;314;28857;53;7;14/1/2023;17/1/2023;20/1/2023
OPT0331-42022;566;28513;17;4;8/4/2022;11/4/2022;13/4/2022
OPT0332-72022;479;14162;8;4;30/7/2022;8/8/2022;8/8/2022
OPT0333-12022;477;23892;23;3;15/1/2022;17/1/2022;23/1/2022
OPT0334-22022;539;17074;36;5;4/2/2022;7/2/2022;9/2/2022
OPT0335-42022;539;15136;36;6;19/4/2022;24/4/2022;28/4/2022
OPT0336-32022;537;11305;65;7;16/3/2022;17/3/2022;27/3/2022
OPT0337-52022;530;13096;20;8;26/5/2022;4/6/2022;4/6/2022
OPT0338-72022;592;16684;5;4;12/7/2022;13/7/2022;21/7/2022
OPT0339-72022;477;18611;40;5;16/7/2022;25/7/2022;27/7/2022
OPT0340-72022;491;17779;48;3;30/7/2022;5/8/2022;8/8/2022
OPT0341-102021;535;18632;51;2;2/10/2021;8/10/2021;10/10/2021
OPT0342-62022;530;16934;40;8;1/6/2022;5/6/2022;8/6/2022
OPT0343-32022;535;20096;57;0;1/3/2022;3/3/2022;8/3/2022
OPT0344-22022;477;14220;63;0;25/2/2022;28/2/2022;3/3/2022
OPT0345-22022;599;12248;4;1;19/2/2022;21/2/2022;25/2/2022
OPT0346-22022;562;24654;61;3;19/2/2022;27/2/2022;27/2/2022
OPT0347-62022;530;15686;34;8;26/6/2022;28/6/2022;4/7/2022
OPT0348-22022;355;13651;13;3;16/2/2022;22/2/2022;25/2/2022
OPT0349-32022;222;27811;57;5;1/3/2022;10/3/2022;10/3/2022
OPT0350-122021;217;13252;34;0;19/12/2021;23/12/2021;27/12/2021
OPT0351-92021;477;15017;2;2;1/9/2021;10/9/2021;10/9/2021
OPT0352-102021;222;12124;26;1;19/10/2021;22/10/2021;24/10/2021
OPT0353-22022;357;15080;10;0;18/2/2022;20/2/2022;24/2/2022
OPT0354-12022;538;17498;46;3;26/1/2022;28/1/2022;5/2/2022
OPT0355-62022;382;20913;34;6;5/6/2022;10/6/2022;11/6/2022
OPT0356-62022;478;16096;24;8;5/6/2022;6/6/2022;14/6/2022
OPT0357-42022;477;22593;60;2;7/4/2022;17/4/2022;18/4/2022
OPT0358-112021;485;11615;55;8;23/11/2021;28/11/2021;29/11/2021
